City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Clyde River,70.4692,-68.5914,-31.0,68,1,2.3,CA,2021-02-03 01:23:14
68,Carnarvon,-24.8667,113.6333,75.2,100,90,20.71,AU,2021-02-03 01:18:43
69,Senneterre,48.3835,-77.2328,15.8,92,90,24.16,CA,2021-02-03 01:23:15
70,Bonavista,48.6499,-53.1147,28.99,93,100,2.3,CA,2021-02-03 01:19:14
71,Pevek,69.7008,170.3133,9.19,92,100,10.42,RU,2021-02-03 01:23:15
72,Susehri,40.1644,38.0867,28.45,87,85,3.29,TR,2021-02-03 01:23:15
73,Jieshou,33.2634,115.3611,44.55,74,0,5.79,CN,2021-02-03 01:22:23
74,Iranshahr,27.2025,60.6848,50.0,22,0,0.87,IR,2021-02-03 01:23:15
75,Kapaa,22.0752,-159.319,78.01,73,40,16.11,US,2021-02-03 01:21:19
76,Hobart,-42.8794,147.3294,69.01,51,75,9.22,AU,2021-02-03 01:23:16
77,Sitka,57.0531,-135.33,35.6,64,20,10.36,US,2021-02-03 01:23:16
78,Atuona,-9.8,-139.0333,78.51,73,0,12.93,PF,2021-02-03 01:18:28
79,Khatanga,71.9667,102.5,-21.23,87,100,5.68,RU,2021-02-03 01:23:17
80,Delijan,33.9905,50.6838,42.57,54,0,2.66,IR,2021-02-03 01:23:17
81,Imatra,61.1719,28.7524,23.0,93,100,5.01,FI,2021-02-03 01:23:17
82,Gamba,-2.65,10.0,77.29,86,93,4.34,GA,2021-02-03 01:23:17
83,Pochutla,15.7432,-96.4661,80.6,69,1,5.06,MX,2021-02-03 01:20:07
84,Lebu,-37.6167,-73.65,58.08,85,0,13.51,CL,2021-02-03 01:23:18
85,Kavaratti,10.5669,72.642,80.78,72,0,6.62,IN,2021-02-03 01:19:10
86,Trinidad,-14.8333,-64.9,76.01,92,78,3.33,BO,2021-02-03 01:20:33
87,Alta Floresta,-9.8756,-56.0861,78.8,94,0,3.44,BR,2021-02-03 01:23:18
88,Arraial Do Cabo,-22.9661,-42.0278,76.37,86,75,22.35,BR,2021-02-03 01:23:19
89,Lazaro Cardenas,17.9583,-102.2,76.95,79,0,6.26,MX,2021-02-03 01:23:19
90,Lasa,46.6166,10.7002,34.0,93,75,3.44,IT,2021-02-03 01:23:19
91,Te Anau,-45.4167,167.7167,70.0,57,1,3.51,NZ,2021-02-03 01:20:08
92,Airai,-8.9266,125.4092,69.73,85,89,3.89,TL,2021-02-03 01:23:20
93,Nkongsamba,4.9547,9.9404,68.43,94,11,1.39,CM,2021-02-03 01:23:20
94,Saint George,37.1041,-113.5841,62.6,45,1,5.75,US,2021-02-03 01:20:12
95,Mitzic,0.7821,11.549,70.16,97,100,2.1,GA,2021-02-03 01:23:20
96,Kavieng,-2.5744,150.7967,83.88,73,15,10.8,PG,2021-02-03 01:23:09
97,Tomatlan,19.9333,-105.25,73.06,78,100,4.43,MX,2021-02-03 01:20:21
98,Longyearbyen,78.2186,15.6401,21.2,86,40,6.91,SJ,2021-02-03 01:22:20
99,Oistins,13.0667,-59.5333,78.8,65,40,20.71,BB,2021-02-03 01:23:21
100,Lagoa,39.05,-27.9833,55.8,68,99,35.46,PT,2021-02-03 01:19:56
101,Prince George,53.9166,-122.753,14.0,85,90,12.66,CA,2021-02-03 01:20:58
102,Hirado,33.3597,129.5531,46.99,53,75,12.66,JP,2021-02-03 01:20:45
103,Petropavlovsk-Kamchatskiy,53.0452,158.6483,21.2,73,75,4.47,RU,2021-02-03 01:20:56
104,Kohlu,29.8962,69.252,43.3,56,0,1.39,PK,2021-02-03 01:23:21
105,Kimparana,12.8347,-4.9244,69.57,18,0,7.58,ML,2021-02-03 01:23:22
106,East London,-33.0153,27.9116,70.45,77,3,8.93,ZA,2021-02-03 01:20:29
107,Burns Lake,54.2331,-125.7533,17.6,73,100,2.3,CA,2021-02-03 01:23:22
